Unnamed: 0,Hour,Minutes,Sensor_alpha,Sensor_beta,Sensor_gamma,Sensor_alpha_plus,Sensor_beta_plus,Sensor_gamma_plus,Insect,hour_sin,hour_cos,minute_sin,minute_cos
978,20,32,0.10001198995699803,0.13572174610412369,-0.5371585903416553,-0.4309494543977388,-0.12834244981705814,0.9030200951677096,0,-0.8660254037844386,0.5000000000000001,-0.20791169081775907,-0.9781476007338057
3050,21,51,0.9684945661434172,-0.09339359970869551,-0.4759324352892972,-0.29120104090435933,-0.7070503326213029,1.236210029857197,0,-0.7071067811865477,0.7071067811865474,-0.8090169943749476,0.5877852522924729
4961,18,57,0.6708285440756293,-1.2854318661536683,-1.263806294088054,0.6510399100667477,1.0506409866299296,-1.3398884726828186,0,-1.0,-1.8369701987210297e-16,-0.3090169943749477,0.9510565162951535
2548,21,27,-0.990268204718422,0.8001207697796013,0.5653362106169383,-0.7450701288605546,0.942671880933271,-0.34966603161728016,1,-0.7071067811865477,0.7071067811865474,0.3090169943749475,-0.9510565162951535
848,18,40,0.6096222748007564,-1.7571018388864554,-1.9996832712645525,0.21355323982490534,-2.8055220574869564,-0.7614657708742056,0,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004
3484,22,17,0.8398334377488793,0.9156319692300422,0.3717956726448086,0.6040648614743298,-1.2197459280700733,-0.39171180941772443,0,-0.5000000000000004,0.8660254037844384,0.9781476007338057,-0.20791169081775934
3282,23,20,-1.1542548008151912,0.3896266323895234,-0.3953375360572782,-1.0289166585644487,0.29736339591428884,-0.48053821764460924,2,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998
3861,19,44,-0.8395675394483832,1.2656302133098372,0.1890540016131595,-1.0583217320787912,-0.9915245328830663,2.0245777291247173,0,-0.9659258262890684,0.2588190451025203,-0.9945218953682733,-0.10452846326765423
2131,23,48,0.8186132101086059,0.9536375129477616,-1.2888583598886876,0.06622530742152122,0.6913713675779409,0.8812762259061381,2,-0.25881904510252157,0.9659258262890681,-0.9510565162951536,0.30901699437494723
47,19,58,-0.3029176497153985,1.3302326178719157,0.4962527686262866,0.5056077283243676,1.6663850263310487,-1.7069001746356482,0,-0.9659258262890684,0.2588190451025203,-0.20791169081775898,0.9781476007338057
3265,23,38,-2.7552307545542325,1.1916491755977436,-1.942188762744671,1.744435721850316,0.00048434951485275404,0.0945677206377174,2,-0.25881904510252157,0.9659258262890681,-0.743144825477394,-0.6691306063588585
1350,21,44,1.1163574269525083,0.4473967439931436,-0.12861581685744536,-0.48345762089536737,-0.022277294876578726,-0.5272662587839225,0,-0.7071067811865477,0.7071067811865474,-0.9945218953682733,-0.10452846326765423
4629,22,25,2.3651269789126856,1.2987077324949265,-1.3065340894101258,1.0556371114949552,0.05554633764211201,0.02646251890222631,2,-0.5000000000000004,0.8660254037844384,0.49999999999999994,-0.8660254037844387
446,21,51,-0.2485590918267984,0.5865598764583043,-0.11972245917520646,-0.9378701418314486,-0.6756910312607199,-0.4991407030497828,1,-0.7071067811865477,0.7071067811865474,-0.8090169943749476,0.5877852522924729
1743,22,51,1.9160934623208061,0.3059661407890829,-0.3186605213219981,-0.1219757193984951,0.9058886939347703,0.4908241024563856,0,-0.5000000000000004,0.8660254037844384,-0.8090169943749476,0.5877852522924729
4075,19,45,0.5730850797713097,1.2282024382173287,0.3610442532864826,-0.4877689639806126,-0.8270047019578376,0.6626867914107992,0,-0.9659258262890684,0.2588190451025203,-1.0,-1.8369701987210297e-16
2981,21,37,1.3574629819419874,-0.25205727944884043,0.4245455918061988,-0.05300463865422755,0.1593107064715324,-0.8723484183046385,1,-0.7071067811865477,0.7071067811865474,-0.6691306063588582,-0.7431448254773942
3599,21,15,-0.023435105174600766,0.197537990225685,0.732010886599674,-0.2671140485089539,0.15275520293017045,0.34372163347642193,1,-0.7071067811865477,0.7071067811865474,1.0,2.83276944882399e-16
